,rep,k,fuv_vals,error_variance,non_zero_ratio,SS_err
92,2,8,0.29171749722140106,31.296789313577186,0.10714285714285714,31.296789313577186
93,3,8,0.28844747538991156,29.059284436786832,0.09722222222222222,29.059284436786832
94,4,8,0.2692415642520976,27.716923253285387,0.09325396825396826,27.716923253285387
95,5,8,0.27751954517012256,27.95836361183267,0.08134920634920635,27.95836361183267
96,6,8,0.2964535735381738,29.865848900575934,0.09722222222222222,29.865848900575934
97,7,8,0.3231826167765976,34.90372261187254,0.10119047619047619,34.90372261187254
98,8,8,0.27451250450506154,29.056308257459214,0.08531746031746032,29.056308257459214
99,9,8,0.3830648623189399,39.43439943761087,0.08134920634920635,39.43439943761087
100,10,8,0.3170649578022815,34.91920499551045,0.09126984126984126,34.91920499551045
101,11,8,0.2766739575606508,27.46412509336745,0.10317460317460317,27.46412509336745
102,12,8,0.25884843798674695,26.07736599291427,0.0992063492063492,26.07736599291427
103,13,8,0.2916447854357539,30.659075403178118,0.10714285714285714,30.659075403178118
104,14,8,0.23693685969970185,23.343653398327653,0.0992063492063492,23.343653398327653
105,0,9,0.21929616616299147,22.09272124782174,0.10582010582010581,22.09272124782174
106,1,9,0.23302032871150588,23.475345043072075,0.10052910052910052,23.475345043072075
107,2,9,0.2856701847787616,30.030997202592715,0.08994708994708994,30.030997202592715
108,3,9,0.21719782236502494,21.39891062364351,0.09171075837742504,21.39891062364351
109,4,9,0.2533190943284064,27.177232767375795,0.08994708994708994,27.177232767375795
110,5,9,0.24388406633017679,24.569798863757587,0.08818342151675485,24.569798863757587
111,6,9,0.29633651626544594,31.152292276793816,0.10758377425044091,31.152292276793816
112,7,9,0.2516983843139941,26.277368396844544,0.10229276895943562,26.277368396844544
113,8,9,0.24338232788016315,27.48868181002065,0.08465608465608465,27.48868181002065
114,9,9,0.20151157772758013,20.152300128640825,0.09700176366843033,20.152300128640825
115,10,9,0.31499559091123763,32.885611118704844,0.10052910052910052,32.885611118704844
116,11,9,0.23729838274628862,25.117307390073996,0.09347442680776014,25.117307390073996
117,12,9,0.23269001215776589,23.954144029352236,0.08465608465608465,23.954144029352236
118,13,9,0.26410794935688126,27.572929801282292,0.08465608465608465,27.572929801282292
119,14,9,0.2559994996818457,27.09676336938557,0.09700176366843033,27.09676336938557
120,0,10,0.2825483902266731,30.515226144480696,0.07777777777777778,30.515226144480696
121,1,10,0.21873464466101744,22.03615145804917,0.08253968253968254,22.03615145804917
122,2,10,0.21315115832005974,22.253029262210227,0.09047619047619047,22.253029262210227
123,3,10,0.21418420266381355,22.049073752002588,0.09682539682539683,22.049073752002588
124,4,10,0.19238736736496526,20.502124074113166,0.11746031746031746,20.502124074113166
125,5,10,0.27759266874884936,30.768094440915544,0.06349206349206349,30.768094440915544
126,6,10,0.21574575172083552,22.99135453032287,0.09841269841269841,22.99135453032287
127,7,10,0.2558775741382283,24.636194553082035,0.0761904761904762,24.636194553082035
128,8,10,0.23934150780372343,25.505880954067543,0.08412698412698413,25.505880954067543
129,9,10,0.24353254184956993,25.24786352236358,0.08412698412698413,25.24786352236358
130,10,10,0.21876795370497557,24.402052214795017,0.0873015873015873,24.402052214795017
